order_id,order_date,amount,product_id
221958,2020-01-01,34.439400000000006,SKU_1964
771155,2020-01-01,601.4250000000001,SKU_1241
231932,2020-01-01,927.1534999999999,SKU_1501
465838,2020-01-01,923.2271999999999,SKU_1760
359178,2020-01-01,-1024.578137498107,SKU_1386
744167,2020-01-01,1714.7104,SKU_1006
210268,2020-01-01,1821.975,SKU_1087
832180,2020-01-01,734.592,SKU_1597
154886,2020-01-01,1772.3294999999998,SKU_1907
237337,2020-01-01,3298.512,SKU_1866
621430,2020-01-01,3475.2564000000007,SKU_1144
187498,2020-01-01,1488.3450999999998,SKU_1450
999159,2020-01-01,1038.6981,SKU_1330
275203,2020-01-01,3.3230999999999997,SKU_1709
291335,2020-01-01,978.0887999999999,SKU_1874
378167,2020-01-01,779.5552000000001,SKU_1163
141090,2020-01-01,495.94999999999993,SKU_1656
429365,2020-01-01,467.5776,SKU_1341
164820,2020-01-01,11.459700000000002,SKU_1000
887201,2020-01-01,920.1012000000001,SKU_1119
421879,2020-01-01,2322.817,SKU_1578
818315,2020-01-01,543.1468000000001,SKU_1463
427069,2020-01-01,2400.3486000000003,SKU_1866
876997,2020-01-01,1478.6112000000003,SKU_1461
299041,2020-01-02,1016.6976,SKU_1048
891743,2020-01-02,1339.4250000000002,SKU_1818
203355,2020-01-02,2489.1636,SKU_1326
335796,2020-01-02,474.0450000000001,SKU_1473
314176,2020-01-02,554.944,SKU_1887
284779,2020-01-02,608.5298999999999,SKU_1938
447449,2020-01-02,587.2379999999999,SKU_1367
521909,2020-01-02,370.5024,SKU_1286
358795,2020-01-02,2055.717,SKU_1023
586232,2020-01-02,143.0352,SKU_1722
600186,2020-01-02,2255.968,SKU_1292
256730,2020-01-02,901.7371999999999,SKU_1448
970910,2020-01-02,978.9864000000001,SKU_1984
484681,2020-01-02,106.1565,SKU_1062
249503,2020-01-02,1307.5541,SKU_1567
754811,2020-01-02,296.412,SKU_1457
627035,2020-01-02,519.3552,SKU_1529
748143,2020-01-02,657.7725,SKU_1873
552366,2020-01-02,2123.66,SKU_1960
165725,2020-01-02,139.4688,SKU_1412
229981,2020-01-02,46.221000000000004,SKU_1588
184654,2020-01-02,453.09599999999995,SKU_1259
691723,2020-01-02,2314.1624,SKU_1632
419030,2020-01-02,634.9419999999999,SKU_1907
428947,2020-01-03,2607.04,SKU_1183
655839,2020-01-03,177.46560000000002,SKU_1047
373538,2020-01-03,146.52,SKU_1146
431236,2020-01-03,518.2383,SKU_1793
628178,2020-01-03,477.87359999999995,SKU_1875
665894,2020-01-03,56.111999999999995,SKU_1805
589492,2020-01-03,944.055,SKU_1591
356840,2020-01-03,154.224,SKU_1747
573254,2020-01-03,119.06299999999999,SKU_1408
449457,2020-01-03,1064.7252,SKU_1439
765987,2020-01-03,430.00800000000004,SKU_1457
370936,2020-01-03,909.8063999999999,SKU_1228
339931,2020-01-03,12.994799999999998,SKU_1283
339629,2020-01-03,1629.4685,SKU_1572
305041,2020-01-03,1898.4735000000003,SKU_1731
798361,2020-01-03,921.672,SKU_1344
831912,2020-01-03,426.06000000000006,SKU_1600
517113,2020-01-03,709.8000000000001,SKU_1946
168148,2020-01-03,345.5712,SKU_1907
877089,2020-01-03,835.5024,SKU_1263
748531,2020-01-03,883.2073999999998,SKU_1739
351995,2020-01-03,1188.9174000000003,SKU_1377
778843,2020-01-03,568.9907999999999,SKU_1102
672843,2020-01-03,288.5847,SKU_1953
356508,2020-01-04,167.88750000000002,SKU_1599
903591,2020-01-04,412.24949999999995,SKU_1022
996942,2020-01-04,632.9428,SKU_1292
206530,2020-01-04,384.11839999999995,SKU_1266
704365,2020-01-04,725.1972000000001,SKU_1528
922352,2020-01-04,1501.0757999999998,SKU_1475
560337,2020-01-04,894.4182000000001,SKU_1951
824839,2020-01-04,166.96679999999998,SKU_1948
905889,2020-01-04,1046.339,SKU_1450
559773,2020-01-04,2532.6848,SKU_1897
308261,2020-01-04,333.8412,SKU_1284
864469,2020-01-04,127.48979999999999,SKU_1312
441097,2020-01-04,80.4384,SKU_1161
415139,2020-01-04,599.0400000000001,SKU_1589
271829,2020-01-04,426.3464,SKU_1121
371836,2020-01-04,1376.43,SKU_1480
538974,2020-01-04,2380.8199999999997,SKU_1111
302283,2020-01-04,60.7724,SKU_1238
296769,2020-01-04,481.73040000000003,SKU_1209
661353,2020-01-04,1023.9075000000001,SKU_1348
323165,2020-01-04,466.40880000000004,SKU_1510
723587,2020-01-04,542.4624,SKU_1001
635822,2020-01-04,790.0799999999999,SKU_1891
587879,2020-01-04,2189.2572,SKU_1714
664685,2020-01-05,387.03599999999994,SKU_1798
882038,2020-01-05,2786.9868,SKU_1628
453531,2020-01-05,77.175,SKU_1880
363160,2020-01-05,144.872,SKU_1460
679879,2020-01-05,197.78400000000002,SKU_1811
320884,2020-01-05,865.5654000000001,SKU_1894
123247,2020-01-05,332.3052,SKU_1857
124300,2020-01-05,332.568,SKU_1951
567281,2020-01-05,2235.699,SKU_1481
